Health Points,Attack,Defense,Special Attack,Special Defense,Speed,Generation
60,65,60,130,75,110,1
60,65,80,170,95,130,1
35,45,160,30,45,70,1
60,48,45,43,90,42,1
85,73,70,73,115,67,1
30,105,90,25,25,50,1
55,130,115,50,50,75,1
40,30,50,55,55,100,1
60,50,70,80,80,140,1
60,40,80,60,45,40,1
95,95,85,125,65,55,1
50,50,95,40,50,35,1
60,80,110,50,80,45,1
50,120,53,35,110,87,1
50,105,79,35,110,76,1
90,55,75,60,75,30,1
40,65,95,60,45,35,1
65,90,120,85,70,60,1
80,85,95,30,30,25,1
105,130,120,45,45,40,1
250,5,5,35,105,50,1
65,55,115,100,40,60,1
105,95,80,40,80,90,1
105,125,100,60,100,100,1
30,40,70,70,25,60,1
55,65,95,95,45,85,1
45,67,60,35,50,63,1
80,92,65,65,80,68,1
30,45,55,70,55,85,1
60,75,85,100,85,115,1
40,45,65,100,120,90,1
70,110,80,55,80,105,1
65,50,35,115,95,95,1
65,83,57,95,85,105,1
65,95,57,100,85,93,1
65,125,100,55,70,85,1
65,155,120,65,90,105,1
75,100,95,40,70,110,1
20,10,55,15,20,80,1
95,125,79,60,100,81,1
95,155,109,70,130,81,1
130,85,80,85,95,60,1
48,48,48,48,48,48,1
55,55,50,45,65,55,1
130,65,60,110,95,65,1
65,65,60,110,95,130,1
65,130,60,95,110,65,1
65,60,70,85,75,40,1
35,40,100,90,55,35,1
70,60,125,115,70,55,1
30,80,90,55,45,55,1
60,115,105,65,70,80,1
80,105,65,60,75,130,1
80,135,85,70,95,150,1
160,110,65,65,110,30,1
90,85,100,95,125,85,1
90,90,85,125,90,100,1
90,100,90,125,85,90,1
41,64,45,50,50,50,1
61,84,65,70,70,70,1
91,134,95,100,100,80,1
106,110,90,154,90,130,1
106,190,100,154,100,130,1
106,150,70,194,120,140,1
100,100,100,100,100,100,1
45,49,65,49,65,45,2
60,62,80,63,80,60,2
80,82,100,83,100,80,2
39,52,43,60,50,65,2
58,64,58,80,65,80,2
78,84,78,109,85,100,2
50,65,64,44,48,43,2
65,80,80,59,63,58,2
85,105,100,79,83,78,2
35,46,34,35,45,20,2
85,76,64,45,55,90,2
60,30,30,36,56,50,2
100,50,50,76,96,70,2
40,20,30,40,80,55,2
55,35,50,55,110,85,2
40,60,40,40,40,30,2
70,90,70,60,60,40,2
85,90,80,70,80,130,2
75,38,38,56,56,67,2
125,58,58,76,76,67,2
20,40,15,35,35,60,2
50,25,28,45,55,15,2
90,30,15,40,20,15,2
35,20,65,40,65,20,2
55,40,85,80,105,40,2
40,50,45,70,45,70,2
65,75,70,95,70,95,2
55,40,40,65,45,35,2
70,55,55,80,60,45,2
90,75,85,115,90,55,2
90,95,105,165,110,45,2
75,80,95,90,100,50,2
70,20,50,20,50,40,2
100,50,80,60,80,50,2
70,100,115,30,65,30,2
90,75,75,90,100,70,2
35,35,40,35,55,50,2
55,45,50,45,65,80,2
75,55,70,55,95,110,2
55,70,55,40,55,85,2
30,30,30,30,30,30,2
75,75,55,105,85,30,2
65,65,45,75,45,95,2
55,45,45,25,25,15,2
95,85,85,65,65,35,2
65,65,60,130,95,110,2
95,65,110,60,130,65,2
60,85,42,85,42,91,2
95,75,80,100,110,30,2
60,60,60,85,85,85,2
48,72,48,72,48,48,2
190,33,58,33,58,33,2
70,80,65,90,65,85,2
50,65,90,35,35,15,2
75,90,140,60,60,40,2
100,70,70,65,65,45,2
65,75,105,35,65,85,2
75,85,200,55,65,30,2
75,125,230,55,95,30,2
60,80,50,40,40,30,2
90,120,75,60,60,45,2
65,95,75,55,55,85,2
70,130,100,55,80,65,2
70,150,140,65,100,75,2
20,10,230,10,230,5,2
80,125,75,40,95,85,2
80,185,115,40,105,75,2
55,95,55,35,75,115,2
60,80,50,50,50,40,2
90,130,75,75,75,55,2
40,40,40,70,40,20,2
50,50,120,80,80,30,2
50,50,40,30,30,50,2
100,100,80,60,60,50,2
55,55,85,65,85,35,2
35,65,35,65,35,65,2
75,105,75,105,75,45,2
45,55,45,65,45,75,2
65,40,70,80,140,70,2
65,80,140,40,70,70,2
45,60,30,80,50,65,2
75,90,50,110,80,95,2
75,90,90,140,90,115,2
75,95,95,95,95,85,2
90,60,60,40,40,40,2
90,120,120,60,60,50,2
85,80,90,105,95,60,2
73,95,62,85,65,85,2
55,20,35,20,45,75,2
35,35,35,35,35,35,2
50,95,95,35,110,70,2
45,30,15,85,65,65,2
45,63,37,65,55,95,2
45,75,37,70,55,83,2
95,80,105,40,70,100,2
255,10,10,75,135,55,2
90,85,75,115,100,115,2
115,115,85,90,75,100,2
100,75,115,90,115,85,2
50,64,50,45,50,41,2
70,84,70,65,70,51,2
100,134,110,95,100,61,2
100,164,150,95,120,71,2
106,90,130,90,154,110,2
106,130,90,110,154,90,2
100,100,100,100,100,100,2
40,45,35,65,55,70,3
50,65,45,85,65,95,3
70,85,65,105,85,120,3
45,60,40,70,50,45,3
60,85,60,85,60,55,3
80,120,70,110,70,80,3
80,160,80,130,80,100,3
50,70,50,50,50,40,3
70,85,70,60,70,50,3
100,110,90,85,90,60,3
35,55,35,30,30,35,3
70,90,70,60,60,70,3
38,30,41,30,41,60,3
78,70,61,50,61,100,3
45,45,35,20,30,20,3
50,35,55,25,25,15,3
60,70,50,100,50,65,3
50,35,55,25,25,15,3
60,50,70,50,90,65,3
40,30,30,40,50,30,3
60,50,50,60,70,50,3
80,70,70,90,100,70,3
40,40,50,30,30,30,3
70,70,40,60,40,60,3
90,100,60,90,60,80,3
40,55,30,30,30,85,3
60,85,60,50,50,125,3
40,30,30,55,30,85,3
60,50,100,85,70,65,3
28,25,25,45,35,40,3
38,35,35,65,55,50,3
68,65,65,125,115,80,3
68,85,65,165,135,100,3
40,30,32,50,52,65,3
70,60,62,80,82,60,3
60,40,60,40,60,35,3
60,130,80,60,60,70,3
60,60,60,35,35,30,3
80,80,80,55,55,90,3
150,160,100,95,65,100,3
31,45,90,30,30,40,3
61,90,45,50,50,160,3
1,90,45,30,30,40,3
64,51,23,51,23,28,3
84,71,43,71,43,48,3
104,91,63,91,73,68,3
72,60,30,20,30,25,3
144,120,60,40,60,50,3
50,20,40,20,40,20,3
30,45,135,45,90,30,3
50,45,45,35,35,50,3
70,65,65,55,55,70,3
50,75,75,65,65,50,3
50,85,85,55,55,50,3
50,105,125,55,95,50,3
50,70,100,40,40,30,3
60,90,140,50,50,40,3
70,110,180,60,60,50,3
70,140,230,60,80,50,3
30,40,55,40,55,60,3
60,60,75,60,75,80,3
60,100,85,80,85,100,3
40,45,40,65,40,65,3
70,75,60,105,60,105,3
70,75,80,135,80,135,3
60,50,40,85,75,95,3
60,40,50,75,85,95,3
65,73,55,47,75,85,3
65,47,55,73,75,85,3
50,60,45,100,80,65,3
70,43,53,43,53,40,3
100,73,83,73,83,55,3
45,90,20,65,20,65,3
70,120,40,95,40,95,3
130,70,35,70,35,60,3
170,90,45,90,45,60,3
60,60,40,65,45,35,3
70,100,70,105,75,40,3
70,85,140,85,70,20,3
60,25,35,70,80,60,3
80,45,65,90,110,80,3
60,60,60,60,60,60,3
45,100,45,45,45,10,3
50,70,50,50,50,70,3
80,100,80,80,80,100,3
50,85,40,85,40,35,3
70,115,60,115,60,55,3
45,40,60,40,75,50,3
75,70,90,70,105,80,3
73,115,60,60,60,90,3
73,100,60,100,60,65,3
70,55,65,95,85,70,3
70,95,85,55,65,70,3
50,48,43,46,41,60,3
110,78,73,76,71,60,3
43,80,65,50,35,35,3
63,120,85,90,55,55,3
40,40,55,40,70,55,3
60,70,105,70,120,75,3
66,41,77,61,87,23,3
86,81,97,81,107,43,3
45,95,50,40,50,75,3
75,125,100,70,80,45,3
20,15,20,10,55,80,3
95,60,79,100,125,81,3
70,70,70,70,70,70,3
60,90,70,60,120,40,3
44,75,35,63,33,45,3
64,115,65,83,63,65,3
20,40,90,30,90,25,3
40,70,130,60,130,25,3
99,68,83,72,87,51,3
65,50,70,95,80,65,3
65,130,60,75,60,75,3
65,150,60,115,60,115,3
95,23,48,23,48,23,3
50,50,50,50,50,50,3
80,80,80,80,80,80,3
80,120,80,120,80,100,3
70,40,50,55,50,25,3
90,60,70,75,70,45,3
110,80,90,95,90,65,3
35,64,85,74,55,32,3
55,104,105,94,75,52,3
55,84,105,114,75,52,3
100,90,130,45,65,55,3
43,30,55,40,65,97,3
45,75,60,40,30,50,3
65,95,100,60,50,50,3
95,135,80,110,80,100,3
40,55,80,35,60,30,3
60,75,100,55,80,50,3
80,135,130,95,90,70,3
80,100,200,50,100,50,3
80,50,100,100,200,50,3
80,75,150,75,150,50,3
80,80,90,110,130,110,3
80,90,80,130,110,110,3
100,100,90,150,140,90,3
100,150,140,100,90,90,3
105,150,90,150,90,95,3
100,100,100,100,100,100,3
50,150,50,150,50,150,3
50,180,20,180,20,150,3
50,70,160,70,160,90,3
50,95,90,95,90,180,3
55,68,64,45,55,31,4
75,89,85,55,65,36,4
95,109,105,75,85,56,4
44,58,44,58,44,61,4
64,78,52,78,52,81,4
76,104,71,104,71,108,4
53,51,53,61,56,40,4
64,66,68,81,76,50,4
84,86,88,111,101,60,4
40,55,30,30,30,60,4
55,75,50,40,40,80,4
85,120,70,50,60,100,4
59,45,40,35,40,31,4
79,85,60,55,60,71,4
37,25,41,25,41,25,4
77,85,51,55,51,65,4
45,65,34,40,34,45,4
60,85,49,60,49,60,4
80,120,79,95,79,70,4
40,30,35,50,70,55,4
60,70,65,125,105,90,4
67,125,40,30,30,58,4
97,165,60,65,50,58,4
30,42,118,42,88,30,4
60,52,168,47,138,30,4
40,29,45,29,45,36,4
60,59,85,79,105,36,4
60,79,105,59,85,36,4
60,69,95,69,95,36,4
70,94,50,94,50,66,4
30,30,42,30,42,70,4
70,80,102,80,102,40,4
60,45,70,45,90,95,4
55,65,35,60,30,85,4
85,105,55,85,50,115,4
45,35,45,62,53,35,4
70,60,70,87,78,85,4
76,48,48,57,62,34,4
111,83,68,92,82,39,4
75,100,66,60,66,115,4
90,50,34,60,44,70,4
150,80,44,90,54,80,4
55,66,44,44,56,85,4
65,76,84,54,96,105,4
60,60,60,105,105,105,4
100,125,52,105,52,71,4
49,55,42,42,37,85,4
71,82,64,64,59,112,4
45,30,50,65,50,45,4
63,63,47,41,41,74,4
103,93,67,71,61,84,4
57,24,86,24,86,23,4
67,89,116,79,116,33,4
50,80,95,10,45,10,4
20,25,45,70,90,60,4
100,5,5,15,65,30,4
76,65,45,92,42,91,4
50,92,108,92,108,35,4
58,70,45,40,45,42,4
68,90,65,50,55,82,4
108,130,95,80,85,102,4
108,170,115,120,95,92,4
135,85,40,40,85,5,4
40,70,40,35,40,60,4
70,110,70,115,70,90,4
70,145,88,140,70,112,4
68,72,78,38,42,32,4
108,112,118,68,72,47,4
40,50,90,30,55,65,4
70,90,110,60,75,95,4
48,61,40,61,40,50,4
83,106,65,86,65,85,4
74,100,72,90,72,46,4
49,49,56,49,61,66,4
69,69,76,69,86,91,4
45,20,50,60,120,50,4
60,62,50,62,60,40,4
90,92,75,92,85,60,4
90,132,105,132,105,30,4
70,120,65,45,85,125,4
70,70,115,130,90,60,4
110,85,95,80,95,50,4
115,140,130,55,55,40,4
100,100,125,110,50,50,4
75,123,67,95,85,95,4
75,95,67,125,95,83,4
85,50,95,120,115,80,4
86,76,86,116,56,95,4
65,110,130,60,65,95,4
65,60,110,130,95,65,4
75,95,125,45,75,95,4
110,130,80,70,60,80,4
85,80,70,135,75,90,4
68,125,65,65,115,80,4
60,55,145,75,150,40,4
45,100,135,65,135,45,4
70,80,70,80,70,110,4
50,50,77,95,77,91,4
50,65,107,105,107,86,4
50,65,107,105,107,86,4
50,65,107,105,107,86,4
50,65,107,105,107,86,4
50,65,107,105,107,86,4
75,75,130,75,130,95,4
80,105,105,105,105,80,4
75,125,70,125,70,115,4
100,120,120,150,100,90,4
90,120,100,150,120,100,4
91,90,106,130,106,77,4
110,160,110,80,110,100,4
150,100,120,100,120,90,4
150,120,100,120,100,90,4
120,70,120,75,130,85,4
80,80,80,80,80,80,4
100,100,100,100,100,100,4
70,90,90,135,90,125,4
100,100,100,100,100,100,4
100,103,75,120,75,127,4
120,120,120,120,120,120,4
100,100,100,100,100,100,5
45,45,55,45,55,63,5
60,60,75,60,75,83,5
75,75,95,75,95,113,5
65,63,45,45,45,45,5
90,93,55,70,55,55,5
110,123,65,100,65,65,5
55,55,45,63,45,45,5
75,75,60,83,60,60,5
95,100,85,108,70,70,5
45,55,39,35,39,42,5
60,85,69,60,69,77,5
45,60,45,25,45,55,5
65,80,65,35,65,60,5
85,110,90,45,90,80,5
41,50,37,50,37,66,5
64,88,50,88,50,106,5
50,53,48,53,48,64,5
75,98,63,98,63,101,5
50,53,48,53,48,64,5
75,98,63,98,63,101,5
50,53,48,53,48,64,5
75,98,63,98,63,101,5
76,25,45,67,55,24,5
116,55,85,107,95,29,5
50,55,50,36,30,43,5
62,77,62,50,42,65,5
80,115,80,65,55,93,5
45,60,32,50,32,76,5
75,100,63,80,63,116,5
55,75,85,25,25,15,5
70,105,105,50,40,20,5
85,135,130,60,80,25,5
55,45,43,55,43,72,5
67,57,55,77,55,114,5
60,85,40,30,45,68,5
110,135,60,50,65,88,5
103,60,86,60,86,50,5
75,80,55,25,35,35,5
85,105,85,40,50,40,5
105,140,95,55,65,45,5
50,50,40,50,40,64,5
75,65,55,65,55,69,5
105,95,75,85,75,74,5
120,100,85,30,85,45,5
75,125,75,30,75,85,5
45,53,70,40,60,42,5
55,63,90,50,80,42,5
75,103,80,70,80,92,5
30,45,59,30,39,57,5
40,55,99,40,79,47,5
60,100,89,55,69,112,5
40,27,60,37,50,66,5
60,67,85,77,75,116,5
45,35,50,70,50,30,5
70,60,75,110,75,90,5
70,92,65,80,55,98,5
50,72,35,35,35,65,5
60,82,45,45,45,74,5
95,117,80,65,70,92,5
70,90,45,15,45,50,5
105,140,55,30,55,95,5
105,30,105,140,105,55,5
75,86,67,106,67,60,5
50,65,85,35,35,55,5
70,95,125,65,75,45,5
50,75,70,35,70,48,5
65,90,115,45,115,58,5
72,58,80,103,80,97,5
38,30,85,55,65,30,5
58,50,145,95,105,30,5
54,78,103,53,45,22,5
74,108,133,83,65,32,5
55,112,45,74,45,70,5
75,140,65,112,65,110,5
50,50,62,40,62,65,5
80,95,82,60,82,75,5
40,65,40,80,40,65,5
60,105,60,120,60,105,5
55,50,40,40,40,75,5
75,95,60,65,60,115,5
45,30,50,55,65,45,5
60,45,70,75,85,55,5
70,55,95,95,110,65,5
45,30,40,105,50,20,5
65,40,50,125,60,30,5
110,65,75,125,85,30,5
62,44,50,44,50,55,5
75,87,63,87,63,98,5
36,50,50,65,60,44,5
51,65,65,80,75,59,5
71,95,85,110,95,79,5
60,60,50,40,50,75,5
80,100,70,60,70,95,5
55,75,60,75,60,103,5
50,75,45,40,45,60,5
70,135,105,60,105,20,5
69,55,45,55,55,15,5
114,85,70,85,80,30,5
55,40,50,65,85,40,5
100,60,70,85,105,60,5
165,75,80,40,45,65,5
50,47,50,57,50,65,5
70,77,60,97,60,108,5
44,50,91,24,86,10,5
74,94,131,54,116,20,5
40,55,70,45,60,30,5
60,80,95,70,85,50,5
60,100,115,70,85,90,5
35,55,40,45,40,60,5
65,85,70,75,70,40,5
85,115,80,105,80,50,5
55,55,55,85,55,30,5
75,75,75,125,95,40,5
50,30,55,65,55,20,5
60,40,60,95,60,55,5
60,55,90,145,90,80,5
46,87,60,30,40,57,5
66,117,70,40,50,67,5
76,147,90,60,70,97,5
55,70,40,60,40,40,5
95,110,80,70,80,50,5
70,50,30,95,135,105,5
50,40,85,40,65,25,5
80,70,40,100,60,145,5
109,66,84,81,99,32,5
45,85,50,55,50,65,5
65,125,60,95,60,105,5
77,120,90,60,90,48,5
59,74,50,35,50,35,5
89,124,80,55,80,55,5
45,85,70,40,40,60,5
65,125,100,60,70,70,5
95,110,95,40,95,55,5
70,83,50,37,50,60,5
100,123,75,57,75,80,5
70,55,75,45,65,60,5
110,65,105,55,95,80,5
85,97,66,105,66,65,5
58,109,112,48,48,109,5
52,65,50,45,50,38,5
72,85,70,65,70,58,5
92,105,90,125,90,98,5
55,85,55,50,55,60,5
85,60,65,135,105,100,5
91,90,129,90,72,108,5
91,129,90,72,90,108,5
91,90,72,90,129,108,5
79,115,70,125,80,111,5
79,100,80,110,90,121,5
79,115,70,125,80,111,5
79,105,70,145,80,101,5
100,120,100,150,120,90,5
100,150,120,120,100,90,5
89,125,90,115,80,101,5
89,145,90,105,80,91,5
125,130,90,130,90,95,5
125,120,90,170,100,95,5
125,170,100,120,90,95,5
91,72,90,129,90,108,5
91,72,90,129,90,108,5
100,77,77,128,128,90,5
100,128,90,77,77,128,5
71,120,95,120,95,99,5
56,61,65,48,45,38,6
61,78,95,56,58,57,6
88,107,122,74,75,64,6
40,45,40,62,60,60,6
59,59,58,90,70,73,6
75,69,72,114,100,104,6
41,56,40,62,44,71,6
54,63,52,83,56,97,6
72,95,67,103,71,122,6
38,36,38,32,36,57,6
85,56,77,50,77,78,6
45,50,43,40,38,62,6
62,73,55,56,52,84,6
78,81,71,74,69,126,6
38,35,40,27,25,35,6
45,22,60,27,30,29,6
80,52,50,90,50,89,6
62,50,58,73,54,72,6
86,68,72,109,66,106,6
44,38,39,61,79,42,6
54,45,47,75,98,52,6
78,65,68,112,154,75,6
66,65,48,62,57,52,6
123,100,62,97,81,68,6
67,82,62,46,48,43,6
95,124,78,69,71,58,6
75,80,60,65,90,102,6
62,48,54,63,60,68,6
74,48,76,83,81,104,6
74,48,76,83,81,104,6
45,80,100,35,37,28,6
59,110,150,45,49,35,6
60,150,50,150,50,60,6
60,50,150,50,150,60,6
78,52,60,63,65,23,6
101,72,72,99,89,29,6
62,48,66,59,57,49,6
82,80,86,85,75,72,6
53,54,53,37,46,45,6
86,92,88,68,75,73,6
42,52,67,39,56,50,6
72,105,115,54,86,68,6
50,60,60,60,60,30,6
65,75,90,97,123,44,6
50,53,62,58,63,44,6
71,73,88,120,89,59,6
44,38,33,61,43,70,6
62,55,52,109,94,109,6
58,89,77,45,45,48,6
82,121,119,69,59,71,6
77,59,50,67,63,46,6
123,77,72,99,92,58,6
95,65,65,110,130,60,6
78,92,75,74,63,118,6
67,58,57,81,67,101,6
50,50,150,50,150,50,6
45,50,35,55,75,40,6
68,75,53,83,113,60,6
90,100,70,110,150,80,6
57,80,91,80,87,75,6
43,70,48,50,60,38,6
85,110,76,65,82,56,6
49,66,70,44,55,51,6
44,66,70,44,55,56,6
54,66,70,44,55,46,6
59,66,70,44,55,41,6
65,90,122,58,75,84,6
55,85,122,58,75,99,6
75,95,122,58,75,69,6
85,100,122,58,75,54,6
55,69,85,32,35,28,6
95,117,184,44,46,28,6
40,30,35,45,40,55,6
85,70,80,97,80,123,6
126,131,95,131,98,99,6
126,131,95,131,98,99,6
108,100,121,81,95,95,6
50,100,150,100,150,50,6
80,110,60,150,130,70,6
80,110,120,130,90,70,6
