id,Generation,Type1,Type2,Name,Health Points,Attack,Defense,Special Attack,Special Defense,Speed,Total
43,1,Grass,Poison,Oddish,45,50,55,75,65,30,320
44,1,Grass,Poison,Gloom,60,65,70,85,75,40,395
45,1,Grass,Poison,Vileplume,75,80,85,110,90,50,490
46,1,Bug,Grass,Paras,35,70,55,45,55,25,285
47,1,Bug,Grass,Parasect,60,95,80,60,80,30,405
48,1,Bug,Poison,Venonat,60,55,50,40,55,45,305
49,1,Bug,Poison,Venomoth,70,65,60,90,75,90,450
50,1,Ground,None,Diglett,10,55,25,35,45,95,265
51,1,Ground,None,Dugtrio,35,80,50,50,70,120,405
52,1,Normal,None,Meowth,40,45,35,40,40,90,290
53,1,Normal,None,Persian,65,70,60,65,65,115,440
54,1,Water,None,Psyduck,50,52,48,65,50,55,320
55,1,Water,None,Golduck,80,82,78,95,80,85,500
56,1,Fighting,None,Mankey,40,80,35,35,45,70,305
57,1,Fighting,None,Primeape,65,105,60,60,70,95,455
58,1,Fire,None,Growlithe,55,70,45,70,50,60,350
59,1,Fire,None,Arcanine,90,110,80,100,80,95,555
60,1,Water,None,Poliwag,40,50,40,40,40,90,300
61,1,Water,None,Poliwhirl,65,65,65,50,50,90,385
62,1,Water,Fighting,Poliwrath,90,95,95,70,90,70,510
63,1,Psychic,None,Abra,25,20,15,105,55,90,310
64,1,Psychic,None,Kadabra,40,35,30,120,70,105,400
65,1,Psychic,None,Alakazam,55,50,45,135,95,120,500
65,1,Psychic,None,Mega Alakazam,55,50,65,175,95,150,590
66,1,Fighting,None,Machop,70,80,50,35,35,35,305
67,1,Fighting,None,Machoke,80,100,70,50,60,45,405
68,1,Fighting,None,Machamp,90,130,80,65,85,55,505
69,1,Grass,Poison,Bellsprout,50,75,35,70,30,40,300
70,1,Grass,Poison,Weepinbell,65,90,50,85,45,55,390
71,1,Grass,Poison,Victreebel,80,105,65,100,70,70,490
72,1,Water,Poison,Tentacool,40,40,35,50,100,70,335
73,1,Water,Poison,Tentacruel,80,70,65,80,120,100,515
74,1,Rock,Ground,Geodude,40,80,100,30,30,20,300
75,1,Rock,Ground,Graveler,55,95,115,45,45,35,390
76,1,Rock,Ground,Golem,80,120,130,55,65,45,495
77,1,Fire,None,Ponyta,50,85,55,65,65,90,410
78,1,Fire,None,Rapidash,65,100,70,80,80,105,500
79,1,Water,Psychic,Slowpoke,90,65,65,40,40,15,315
80,1,Water,Psychic,Slowbro,95,75,110,100,80,30,490
81,1,Electric,Steel,Magnemite,25,35,70,95,55,45,325
82,1,Electric,Steel,Magneton,50,60,95,120,70,70,465
83,1,Normal,Flying,Farfetch'd,52,65,55,58,62,60,352
84,1,Normal,Flying,Doduo,35,85,45,35,35,75,310
85,1,Normal,Flying,Dodrio,60,110,70,60,60,100,460
86,1,Water,None,Seel,65,45,55,45,70,45,325
87,1,Water,Ice,Dewgong,90,70,80,70,95,70,475
88,1,Poison,None,Grimer,80,80,50,40,50,25,325
89,1,Poison,None,Muk,105,105,75,65,100,50,500
90,1,Water,None,Shellder,30,65,100,45,25,40,305
91,1,Water,Ice,Cloyster,50,95,180,85,45,70,525
92,1,Ghost,Poison,Gastly,30,35,30,100,35,80,310
93,1,Ghost,Poison,Haunter,45,50,45,115,55,95,405
94,1,Ghost,Poison,Gengar,60,65,60,130,75,110,500
94,1,Ghost,None,Mega Gengar,60,65,80,170,95,130,600
95,1,Rock,Ground,Onix,35,45,160,30,45,70,385
96,1,Psychic,None,Drowzee,60,48,45,43,90,42,328
97,1,Psychic,None,Hypno,85,73,70,73,115,67,483
98,1,Water,None,Krabby,30,105,90,25,25,50,325
99,1,Water,None,Kingler,55,130,115,50,50,75,475
100,1,Electric,None,Voltorb,40,30,50,55,55,100,330
101,1,Electric,None,Electrode,60,50,70,80,80,140,480
102,1,Grass,Psychic,Exeggcute,60,40,80,60,45,40,325
103,1,Grass,Psychic,Exeggutor,95,95,85,125,65,55,520
104,1,Ground,None,Cubone,50,50,95,40,50,35,320
105,1,Ground,None,Marowak,60,80,110,50,80,45,425
106,1,Fighting,None,Hitmonlee,50,120,53,35,110,87,455
107,1,Fighting,None,Hitmonchan,50,105,79,35,110,76,455
108,1,Normal,None,Lickitung,90,55,75,60,75,30,385
109,1,Poison,None,Koffing,40,65,95,60,45,35,340
110,1,Poison,None,Weezing,65,90,120,85,70,60,490
111,1,Ground,Rock,Rhyhorn,80,85,95,30,30,25,345
112,1,Ground,Rock,Rhydon,105,130,120,45,45,40,485
113,1,Normal,None,Chansey,250,5,5,35,105,50,450
114,1,Grass,None,Tangela,65,55,115,100,40,60,435
115,1,Normal,None,Kangaskhan,105,95,80,40,80,90,490
115,1,Normal,None,Mega Kangaskhan,105,125,100,60,100,100,590
116,1,Water,None,Horsea,30,40,70,70,25,60,295
117,1,Water,None,Seadra,55,65,95,95,45,85,440
118,1,Water,None,Goldeen,45,67,60,35,50,63,320
119,1,Water,None,Seaking,80,92,65,65,80,68,450
120,1,Water,None,Staryu,30,45,55,70,55,85,340
121,1,Water,Psychic,Starmie,60,75,85,100,85,115,520
122,1,Psychic,Fairy,Mr. Mime,40,45,65,100,120,90,460
123,1,Bug,Flying,Scyther,70,110,80,55,80,105,500
124,1,Ice,Psychic,Jynx,65,50,35,115,95,95,455
125,1,Electric,None,Electabuzz,65,83,57,95,85,105,490
126,1,Fire,None,Magmar,65,95,57,100,85,93,495
127,1,Bug,None,Pinsir,65,125,100,55,70,85,500
127,1,Bug,Flying,Mega Pinsir,65,155,120,65,90,105,600
128,1,Normal,None,Tauros,75,100,95,40,70,110,490
129,1,Water,None,Magikarp,20,10,55,15,20,80,200
130,1,Water,Flying,Gyarados,95,125,79,60,100,81,540
130,1,Water,Dark,Mega Gyarados,95,155,109,70,130,81,640
131,1,Water,Ice,Lapras,130,85,80,85,95,60,535
132,1,Normal,None,Ditto,48,48,48,48,48,48,288
133,1,Normal,None,Eevee,55,55,50,45,65,55,325
134,1,Water,None,Vaporeon,130,65,60,110,95,65,525
135,1,Electric,None,Jolteon,65,65,60,110,95,130,525
136,1,Fire,None,Flareon,65,130,60,95,110,65,525
137,1,Normal,None,Porygon,65,60,70,85,75,40,395
138,1,Rock,Water,Omanyte,35,40,100,90,55,35,355
139,1,Rock,Water,Omastar,70,60,125,115,70,55,495
140,1,Rock,Water,Kabuto,30,80,90,55,45,55,355
141,1,Rock,Water,Kabutops,60,115,105,65,70,80,495
142,1,Rock,Flying,Aerodactyl,80,105,65,60,75,130,515
142,1,Rock,Flying,Mega Aerodactyl,80,135,85,70,95,150,615
143,1,Normal,None,Snorlax,160,110,65,65,110,30,540
144,1,Ice,Flying,Articuno,90,85,100,95,125,85,580
145,1,Electric,Flying,Zapdos,90,90,85,125,90,100,580
146,1,Fire,Flying,Moltres,90,100,90,125,85,90,580
147,1,Dragon,None,Dratini,41,64,45,50,50,50,300
148,1,Dragon,None,Dragonair,61,84,65,70,70,70,420
149,1,Dragon,Flying,Dragonite,91,134,95,100,100,80,600
150,1,Psychic,None,Mewtwo,106,110,90,154,90,130,680
150,1,Psychic,Fighting,Mega Mewtwo X,106,190,100,154,100,130,780
150,1,Psychic,None,Mega Mewtwo Y,106,150,70,194,120,140,780
151,1,Psychic,None,Mew,100,100,100,100,100,100,600
152,2,Grass,None,Chikorita,45,49,65,49,65,45,318
153,2,Grass,None,Bayleef,60,62,80,63,80,60,405
154,2,Grass,None,Meganium,80,82,100,83,100,80,525
155,2,Fire,None,Cyndaquil,39,52,43,60,50,65,309
156,2,Fire,None,Quilava,58,64,58,80,65,80,405
157,2,Fire,None,Typhlosion,78,84,78,109,85,100,534
158,2,Water,None,Totodile,50,65,64,44,48,43,314
159,2,Water,None,Croconaw,65,80,80,59,63,58,405
160,2,Water,None,Feraligatr,85,105,100,79,83,78,530
161,2,Normal,None,Sentret,35,46,34,35,45,20,215
162,2,Normal,None,Furret,85,76,64,45,55,90,415
163,2,Normal,Flying,Hoothoot,60,30,30,36,56,50,262
164,2,Normal,Flying,Noctowl,100,50,50,76,96,70,442
165,2,Bug,Flying,Ledyba,40,20,30,40,80,55,265
166,2,Bug,Flying,Ledian,55,35,50,55,110,85,390
167,2,Bug,Poison,Spinarak,40,60,40,40,40,30,250
168,2,Bug,Poison,Ariados,70,90,70,60,60,40,390
169,2,Poison,Flying,Crobat,85,90,80,70,80,130,535
170,2,Water,Electric,Chinchou,75,38,38,56,56,67,330
171,2,Water,Electric,Lanturn,125,58,58,76,76,67,460
172,2,Electric,None,Pichu,20,40,15,35,35,60,205
173,2,Fairy,None,Cleffa,50,25,28,45,55,15,218
174,2,Normal,Fairy,Igglybuff,90,30,15,40,20,15,210
175,2,Fairy,None,Togepi,35,20,65,40,65,20,245
176,2,Fairy,Flying,Togetic,55,40,85,80,105,40,405
177,2,Psychic,Flying,Natu,40,50,45,70,45,70,320
178,2,Psychic,Flying,Xatu,65,75,70,95,70,95,470
179,2,Electric,None,Mareep,55,40,40,65,45,35,280
180,2,Electric,None,Flaaffy,70,55,55,80,60,45,365
181,2,Electric,None,Ampharos,90,75,85,115,90,55,510
181,2,Electric,Dragon,Mega Ampharos,90,95,105,165,110,45,610
182,2,Grass,None,Bellossom,75,80,95,90,100,50,490
183,2,Water,Fairy,Marill,70,20,50,20,50,40,250
184,2,Water,Fairy,Azumarill,100,50,80,60,80,50,420
185,2,Rock,None,Sudowoodo,70,100,115,30,65,30,410
186,2,Water,None,Politoed,90,75,75,90,100,70,500
187,2,Grass,Flying,Hoppip,35,35,40,35,55,50,250
188,2,Grass,Flying,Skiploom,55,45,50,45,65,80,340
189,2,Grass,Flying,Jumpluff,75,55,70,55,95,110,460
190,2,Normal,None,Aipom,55,70,55,40,55,85,360
191,2,Grass,None,Sunkern,30,30,30,30,30,30,180
192,2,Grass,None,Sunflora,75,75,55,105,85,30,425
193,2,Bug,Flying,Yanma,65,65,45,75,45,95,390
194,2,Water,Ground,Wooper,55,45,45,25,25,15,210
195,2,Water,Ground,Quagsire,95,85,85,65,65,35,430
196,2,Psychic,None,Espeon,65,65,60,130,95,110,525
197,2,Dark,None,Umbreon,95,65,110,60,130,65,525
198,2,Dark,Flying,Murkrow,60,85,42,85,42,91,405
199,2,Water,Psychic,Slowking,95,75,80,100,110,30,490
200,2,Ghost,None,Misdreavus,60,60,60,85,85,85,435
201,2,Psychic,None,Unown,48,72,48,72,48,48,336
202,2,Psychic,None,Wobbuffet,190,33,58,33,58,33,405
203,2,Normal,Psychic,Girafarig,70,80,65,90,65,85,455
204,2,Bug,None,Pineco,50,65,90,35,35,15,290
205,2,Bug,Steel,Forretress,75,90,140,60,60,40,465
206,2,Normal,None,Dunsparce,100,70,70,65,65,45,415
207,2,Ground,Flying,Gligar,65,75,105,35,65,85,430
208,2,Steel,Ground,Steelix,75,85,200,55,65,30,510
208,2,Steel,Ground,Mega Steelix,75,125,230,55,95,30,610
209,2,Fairy,None,Snubbull,60,80,50,40,40,30,300
210,2,Fairy,None,Granbull,90,120,75,60,60,45,450
211,2,Water,Poison,Qwilfish,65,95,75,55,55,85,430
212,2,Bug,Steel,Scizor,70,130,100,55,80,65,500
212,2,Bug,Steel,Mega Scizor,70,150,140,65,100,75,600
213,2,Bug,Rock,Shuckle,20,10,230,10,230,5,505
214,2,Bug,Fighting,Heracross,80,125,75,40,95,85,500
214,2,Bug,Fighting,Mega Heracross,80,185,115,40,105,75,600
215,2,Dark,Ice,Sneasel,55,95,55,35,75,115,430
216,2,Normal,None,Teddiursa,60,80,50,50,50,40,330
217,2,Normal,None,Ursaring,90,130,75,75,75,55,500
218,2,Fire,None,Slugma,40,40,40,70,40,20,250
219,2,Fire,Rock,Magcargo,50,50,120,80,80,30,410
220,2,Ice,Ground,Swinub,50,50,40,30,30,50,250
221,2,Ice,Ground,Piloswine,100,100,80,60,60,50,450
222,2,Water,Rock,Corsola,55,55,85,65,85,35,380
223,2,Water,None,Remoraid,35,65,35,65,35,65,300
224,2,Water,None,Octillery,75,105,75,105,75,45,480
225,2,Ice,Flying,Delibird,45,55,45,65,45,75,330
226,2,Water,Flying,Mantine,65,40,70,80,140,70,465
227,2,Steel,Flying,Skarmory,65,80,140,40,70,70,465
228,2,Dark,Fire,Houndour,45,60,30,80,50,65,330
229,2,Dark,Fire,Houndoom,75,90,50,110,80,95,500
229,2,Dark,Fire,Mega Houndoom,75,90,90,140,90,115,600
230,2,Water,Dragon,Kingdra,75,95,95,95,95,85,540
231,2,Ground,None,Phanpy,90,60,60,40,40,40,330
232,2,Ground,None,Donphan,90,120,120,60,60,50,500
233,2,Normal,None,Porygon2,85,80,90,105,95,60,515
234,2,Normal,None,Stantler,73,95,62,85,65,85,465
235,2,Normal,None,Smeargle,55,20,35,20,45,75,250
236,2,Fighting,None,Tyrogue,35,35,35,35,35,35,210
237,2,Fighting,None,Hitmontop,50,95,95,35,110,70,455
238,2,Ice,Psychic,Smoochum,45,30,15,85,65,65,305
239,2,Electric,None,Elekid,45,63,37,65,55,95,360
240,2,Fire,None,Magby,45,75,37,70,55,83,365
241,2,Normal,None,Miltank,95,80,105,40,70,100,490
242,2,Normal,None,Blissey,255,10,10,75,135,55,540
243,2,Electric,None,Raikou,90,85,75,115,100,115,580
244,2,Fire,None,Entei,115,115,85,90,75,100,580
245,2,Water,None,Suicune,100,75,115,90,115,85,580
246,2,Rock,Ground,Larvitar,50,64,50,45,50,41,300
247,2,Rock,Ground,Pupitar,70,84,70,65,70,51,410
248,2,Rock,Dark,Tyranitar,100,134,110,95,100,61,600
248,2,Rock,Dark,Mega Tyranitar,100,164,150,95,120,71,700
249,2,Psychic,Flying,Lugia,106,90,130,90,154,110,680
250,2,Fire,Flying,Ho-oh,106,130,90,110,154,90,680
251,2,Psychic,Grass,Celebi,100,100,100,100,100,100,600
252,3,Grass,None,Treecko,40,45,35,65,55,70,310
253,3,Grass,None,Grovyle,50,65,45,85,65,95,405
254,3,Grass,None,Sceptile,70,85,65,105,85,120,530
255,3,Fire,None,Torchic,45,60,40,70,50,45,310
256,3,Fire,Fighting,Combusken,60,85,60,85,60,55,405
257,3,Fire,Fighting,Blaziken,80,120,70,110,70,80,530
257,3,Fire,Fighting,Mega Blaziken,80,160,80,130,80,100,630
258,3,Water,None,Mudkip,50,70,50,50,50,40,310
259,3,Water,Ground,Marshtomp,70,85,70,60,70,50,405
260,3,Water,Ground,Swampert,100,110,90,85,90,60,535
261,3,Dark,None,Poochyena,35,55,35,30,30,35,220
262,3,Dark,None,Mightyena,70,90,70,60,60,70,420
263,3,Normal,None,Zigzagoon,38,30,41,30,41,60,240
264,3,Normal,None,Linoone,78,70,61,50,61,100,420
265,3,Bug,None,Wurmple,45,45,35,20,30,20,195
266,3,Bug,None,Silcoon,50,35,55,25,25,15,205
267,3,Bug,Flying,Beautifly,60,70,50,100,50,65,395
268,3,Bug,None,Cascoon,50,35,55,25,25,15,205
269,3,Bug,Poison,Dustox,60,50,70,50,90,65,385
270,3,Water,Grass,Lotad,40,30,30,40,50,30,220
271,3,Water,Grass,Lombre,60,50,50,60,70,50,340
272,3,Water,Grass,Ludicolo,80,70,70,90,100,70,480
273,3,Grass,None,Seedot,40,40,50,30,30,30,220
274,3,Grass,Dark,Nuzleaf,70,70,40,60,40,60,340
275,3,Grass,Dark,Shiftry,90,100,60,90,60,80,480
276,3,Normal,Flying,Taillow,40,55,30,30,30,85,270
277,3,Normal,Flying,Swellow,60,85,60,50,50,125,430
278,3,Water,Flying,Wingull,40,30,30,55,30,85,270
279,3,Water,Flying,Pelipper,60,50,100,85,70,65,430
280,3,Psychic,Fairy,Ralts,28,25,25,45,35,40,198
281,3,Psychic,Fairy,Kirlia,38,35,35,65,55,50,278
282,3,Psychic,Fairy,Gardevoir,68,65,65,125,115,80,518
282,3,Psychic,Fairy,Mega Gardevoir,68,85,65,165,135,100,618
283,3,Bug,Water,Surskit,40,30,32,50,52,65,269
284,3,Bug,Flying,Masquerain,70,60,62,80,82,60,414
285,3,Grass,None,Shroomish,60,40,60,40,60,35,295
286,3,Grass,Fighting,Breloom,60,130,80,60,60,70,460
287,3,Normal,None,Slakoth,60,60,60,35,35,30,280
288,3,Normal,None,Vigoroth,80,80,80,55,55,90,440
289,3,Normal,None,Slaking,150,160,100,95,65,100,670
290,3,Bug,Ground,Nincada,31,45,90,30,30,40,266
291,3,Bug,Flying,Ninjask,61,90,45,50,50,160,456
292,3,Bug,Ghost,Shedinja,1,90,45,30,30,40,236
293,3,Normal,None,Whismur,64,51,23,51,23,28,240
294,3,Normal,None,Loudred,84,71,43,71,43,48,360
295,3,Normal,None,Exploud,104,91,63,91,73,68,490
296,3,Fighting,None,Makuhita,72,60,30,20,30,25,237
297,3,Fighting,None,Hariyama,144,120,60,40,60,50,474
298,3,Normal,Fairy,Azurill,50,20,40,20,40,20,190
299,3,Rock,None,Nosepass,30,45,135,45,90,30,375
300,3,Normal,None,Skitty,50,45,45,35,35,50,260
301,3,Normal,None,Delcatty,70,65,65,55,55,70,380
302,3,Dark,Ghost,Sableye,50,75,75,65,65,50,380
303,3,Steel,Fairy,Mawile,50,85,85,55,55,50,380
303,3,Steel,Fairy,Mega Mawile,50,105,125,55,95,50,480
304,3,Steel,Rock,Aron,50,70,100,40,40,30,330
305,3,Steel,Rock,Lairon,60,90,140,50,50,40,430
306,3,Steel,Rock,Aggron,70,110,180,60,60,50,530
306,3,Steel,None,Mega Aggron,70,140,230,60,80,50,630
307,3,Fighting,Psychic,Meditite,30,40,55,40,55,60,280
308,3,Fighting,Psychic,Medicham,60,60,75,60,75,80,410
308,3,Fighting,Psychic,Mega Medicham,60,100,85,80,85,100,510
309,3,Electric,None,Electrike,40,45,40,65,40,65,295
310,3,Electric,None,Manectric,70,75,60,105,60,105,475
310,3,Electric,None,Mega Manectric,70,75,80,135,80,135,575
311,3,Electric,None,Plusle,60,50,40,85,75,95,405
312,3,Electric,None,Minun,60,40,50,75,85,95,405
313,3,Bug,None,Volbeat,65,73,55,47,75,85,400
314,3,Bug,None,Illumise,65,47,55,73,75,85,400
315,3,Grass,Poison,Roselia,50,60,45,100,80,65,400
316,3,Poison,None,Gulpin,70,43,53,43,53,40,302
317,3,Poison,None,Swalot,100,73,83,73,83,55,467
318,3,Water,Dark,Carvanha,45,90,20,65,20,65,305
319,3,Water,Dark,Sharpedo,70,120,40,95,40,95,460
320,3,Water,None,Wailmer,130,70,35,70,35,60,400
321,3,Water,None,Wailord,170,90,45,90,45,60,500
322,3,Fire,Ground,Numel,60,60,40,65,45,35,305
323,3,Fire,Ground,Camerupt,70,100,70,105,75,40,460
324,3,Fire,None,Torkoal,70,85,140,85,70,20,470
325,3,Psychic,None,Spoink,60,25,35,70,80,60,330
326,3,Psychic,None,Grumpig,80,45,65,90,110,80,470
327,3,Normal,None,Spinda,60,60,60,60,60,60,360
328,3,Ground,None,Trapinch,45,100,45,45,45,10,290
329,3,Ground,Dragon,Vibrava,50,70,50,50,50,70,340
330,3,Ground,Dragon,Flygon,80,100,80,80,80,100,520
331,3,Grass,None,Cacnea,50,85,40,85,40,35,335
332,3,Grass,Dark,Cacturne,70,115,60,115,60,55,475
333,3,Normal,Flying,Swablu,45,40,60,40,75,50,310
334,3,Dragon,Flying,Altaria,75,70,90,70,105,80,490
335,3,Normal,None,Zangoose,73,115,60,60,60,90,458
336,3,Poison,None,Seviper,73,100,60,100,60,65,458
337,3,Rock,Psychic,Lunatone,70,55,65,95,85,70,440
338,3,Rock,Psychic,Solrock,70,95,85,55,65,70,440
339,3,Water,Ground,Barboach,50,48,43,46,41,60,288
340,3,Water,Ground,Whiscash,110,78,73,76,71,60,468
341,3,Water,None,Corphish,43,80,65,50,35,35,308
342,3,Water,Dark,Crawdaunt,63,120,85,90,55,55,468
343,3,Ground,Psychic,Baltoy,40,40,55,40,70,55,300
344,3,Ground,Psychic,Claydol,60,70,105,70,120,75,500
345,3,Rock,Grass,Lileep,66,41,77,61,87,23,355
346,3,Rock,Grass,Cradily,86,81,97,81,107,43,495
347,3,Rock,Bug,Anorith,45,95,50,40,50,75,355
348,3,Rock,Bug,Armaldo,75,125,100,70,80,45,495
349,3,Water,None,Feebas,20,15,20,10,55,80,200
350,3,Water,None,Milotic,95,60,79,100,125,81,540
351,3,Normal,None,Castform,70,70,70,70,70,70,420
352,3,Normal,None,Kecleon,60,90,70,60,120,40,440
353,3,Ghost,None,Shuppet,44,75,35,63,33,45,295
354,3,Ghost,None,Banette,64,115,65,83,63,65,455
355,3,Ghost,None,Duskull,20,40,90,30,90,25,295
356,3,Ghost,None,Dusclops,40,70,130,60,130,25,455
357,3,Grass,Flying,Tropius,99,68,83,72,87,51,460
358,3,Psychic,None,Chimecho,65,50,70,95,80,65,425
359,3,Dark,None,Absol,65,130,60,75,60,75,465
359,3,Dark,None,Mega Absol,65,150,60,115,60,115,565
360,3,Psychic,None,Wynaut,95,23,48,23,48,23,260
361,3,Ice,None,Snorunt,50,50,50,50,50,50,300
362,3,Ice,None,Glalie,80,80,80,80,80,80,480
362,3,Ice,None,Mega Glalie,80,120,80,120,80,100,580
363,3,Ice,Water,Spheal,70,40,50,55,50,25,290
364,3,Ice,Water,Sealeo,90,60,70,75,70,45,410
365,3,Ice,Water,Walrein,110,80,90,95,90,65,530
366,3,Water,None,Clamperl,35,64,85,74,55,32,345
367,3,Water,None,Huntail,55,104,105,94,75,52,485
368,3,Water,None,Gorebyss,55,84,105,114,75,52,485
369,3,Water,Rock,Relicanth,100,90,130,45,65,55,485
370,3,Water,None,Luvdisc,43,30,55,40,65,97,330
371,3,Dragon,None,Bagon,45,75,60,40,30,50,300
372,3,Dragon,None,Shelgon,65,95,100,60,50,50,420
373,3,Dragon,Flying,Salamence,95,135,80,110,80,100,600
374,3,Steel,Psychic,Beldum,40,55,80,35,60,30,300
375,3,Steel,Psychic,Metang,60,75,100,55,80,50,420
376,3,Steel,Psychic,Metagross,80,135,130,95,90,70,600
377,3,Rock,None,Regirock,80,100,200,50,100,50,580
378,3,Ice,None,Regice,80,50,100,100,200,50,580
379,3,Steel,None,Registeel,80,75,150,75,150,50,580
380,3,Dragon,Psychic,Latias,80,80,90,110,130,110,600
381,3,Dragon,Psychic,Latios,80,90,80,130,110,110,600
382,3,Water,None,Kyogre,100,100,90,150,140,90,670
383,3,Ground,None,Groudon,100,150,140,100,90,90,670
384,3,Dragon,Flying,Rayquaza,105,150,90,150,90,95,680
385,3,Steel,Psychic,Jirachi,100,100,100,100,100,100,600
386,3,Psychic,None,Deoxys Normal Forme,50,150,50,150,50,150,600
386,3,Psychic,None,Deoxys Attack Forme,50,180,20,180,20,150,600
386,3,Psychic,None,Deoxys Defense Forme,50,70,160,70,160,90,600
386,3,Psychic,None,Deoxys Speed Forme,50,95,90,95,90,180,600
387,4,Grass,None,Turtwig,55,68,64,45,55,31,318
388,4,Grass,None,Grotle,75,89,85,55,65,36,405
389,4,Grass,Ground,Torterra,95,109,105,75,85,56,525
390,4,Fire,None,Chimchar,44,58,44,58,44,61,309
391,4,Fire,Fighting,Monferno,64,78,52,78,52,81,405
392,4,Fire,Fighting,Infernape,76,104,71,104,71,108,534
393,4,Water,None,Piplup,53,51,53,61,56,40,314
394,4,Water,None,Prinplup,64,66,68,81,76,50,405
395,4,Water,Steel,Empoleon,84,86,88,111,101,60,530
396,4,Normal,Flying,Starly,40,55,30,30,30,60,245
397,4,Normal,Flying,Staravia,55,75,50,40,40,80,340
398,4,Normal,Flying,Staraptor,85,120,70,50,60,100,485
399,4,Normal,None,Bidoof,59,45,40,35,40,31,250
400,4,Normal,Water,Bibarel,79,85,60,55,60,71,410
401,4,Bug,None,Kricketot,37,25,41,25,41,25,194
402,4,Bug,None,Kricketune,77,85,51,55,51,65,384
403,4,Electric,None,Shinx,45,65,34,40,34,45,263
404,4,Electric,None,Luxio,60,85,49,60,49,60,363
405,4,Electric,None,Luxray,80,120,79,95,79,70,523
406,4,Grass,Poison,Budew,40,30,35,50,70,55,280
407,4,Grass,Poison,Roserade,60,70,65,125,105,90,515
408,4,Rock,None,Cranidos,67,125,40,30,30,58,350
409,4,Rock,None,Rampardos,97,165,60,65,50,58,495
410,4,Rock,Steel,Shieldon,30,42,118,42,88,30,350
411,4,Rock,Steel,Bastiodon,60,52,168,47,138,30,495
412,4,Bug,None,Burmy,40,29,45,29,45,36,224
413,4,Bug,Grass,Wormadam Plant Cloak,60,59,85,79,105,36,424
413,4,Bug,Ground,Wormadam Sandy Cloak,60,79,105,59,85,36,424
413,4,Bug,Steel,Wormadam Trash Cloak,60,69,95,69,95,36,424
414,4,Bug,Flying,Mothim,70,94,50,94,50,66,424
415,4,Bug,Flying,Combee,30,30,42,30,42,70,244
416,4,Bug,Flying,Vespiquen,70,80,102,80,102,40,474
417,4,Electric,None,Pachirisu,60,45,70,45,90,95,405
418,4,Water,None,Buizel,55,65,35,60,30,85,330
419,4,Water,None,Floatzel,85,105,55,85,50,115,495
